
Rnk	Athlete	POS	RookieYr
1	Lionel Messi	FW	2003
2	Pele	FW	1956
3	Cristiano Ronaldo	FW	2002
4	Diego Maradona	MF	1976
5	Franz Beckenbauer	DF	1964
6	Michel Platini	MF	1972
7	Johan Cruyff	FW	1964
8	Ronaldo	FW	1993
9	Marco van Basten	FW	1981
10	Karl-Heinz Rummenigge	FW	1974
11	Bobby Charlton	MF	1956
12	Gerd Muller	FW	1963
13	Eusebio	FW	1957
14	Raymond Kopa	MF	1949
15	Zinedine Zidane	MF	1989
16	Lothar Matthaus	MF	1979
17	Andriy Shevchenko	FW	1994
18	Ruud Gullit	MF	1979
19	Luisito Suarez	MF	1953
20	Roberto Baggio	FW	1982
21	Hristo Stoichkov	FW	1982
22	Lev Yashin	GK	1950
23	Rivaldo	MF	1991
24	Paolo Maldini	DF	1985
25	David Beckham	MF	1992
26	Gianni Rivera	MF	1959
27	Roberto Carlos	DF	1991
28	Jurgen Klinsmann	FW	1981
29	Dino Zoff	GK	1961
30	Giacinto Facchetti	DF	1960
31	Robert Lewandowski	FW	2006
32	Franco Baresi	DF	1977
33	Bobby Moore	DF	1958
34	Kenny Dalglish	FW	1969
35	Zbigniew Boniek	MF	1973
36	Paolo Rossi	FW	1973
37	Gary Lineker	FW	1978
38	Ferenc Puskas	FW	1943
39	John Charles	DF	1949
40	Michael Laudrup	MF	1981
41	Karim Benzema	FW	2004
42	Gabriel Batistuta	FW	1988
43	Luis Figo	MF	1989
44	Alessandro Del Piero	FW	1991
45	Gheorghe Hagi	MF	1982
46	Ronaldinho	MF	1998
47	Francisco Gento	FW	1952
48	Ryan Giggs	MF	1990
49	Denis Law	FW	1956
50	Thierry Henry	FW	1994
51	Andres Iniesta	MF	2001
52	Florian Albert	FW	1958
53	Luka Modric	MF	2003
54	Gianluigi Buffon	GK	1995
55	Raul	FW	1994
56	Neymar	FW	2009
57	Paul Breitner	DF	1970
58	Kevin De Bruyne	MF	2008
59	Kylian Mbappe	FW	2015
60	Dragan Dzajic	MF	1963
61	Iker Casillas	GK	1998
62	Samuel Eto'o	FW	1997
63	Luis Suarez	FW	2005
64	Zlatan Ibrahimovic	FW	1999
65	Didier Drogba	FW	1998
66	Wayne Rooney	FW	2002
67	Sergio Ramos	DF	2003
68	Rinat Dasayev	GK	1976
69	Sergio Aguero	FW	2003
70	Ruud Krol	DF	1968
71	Thomas Muller	FW	2008
72	David Villa	FW	2000
73	Lilian Thuram	DF	1991
74	Harry Kane	FW	2009
75	Patrick Vieira	MF	1994
76	Andrea Pirlo	MF	1995
77	Francesco Totti	MF	1992
78	Marcel Desailly	DF	1986
79	Michael Ballack	MF	1995
80	Berti Vogts	DF	1965
81	Alfredo Di Stefano	FW	1945
82	Preben Elkjaer	FW	1976
83	Michael Owen	FW	1996
84	Christian Vieri	FW	1991
85	Dennis Bergkamp	FW	1986
86	Johan Neeskens	MF	1968
87	Grzegorz Lato	MF	1966
88	Bryan Robson	MF	1975
89	Frank Rijkaard	MF	1980
90	Antoine Griezmann	FW	2009
91	Kaka	MF	2001
92	Manuel Neuer	GK	2004
93	Peter Shilton	GK	1966
94	Ferenc Bene	FW	1961
95	Uwe Seeler	FW	1953
96	Steven Gerrard	MF	1998
97	Miroslav Klose	FW	1998
98	Rudi Voller	FW	1977
99	Eden Hazard	MF	2007
100	Pavel Nedved	MF	1991
101	Jimmy Greaves	FW	1957
102	Mohamed Salah	FW	2010
103	Arjen Robben	FW	2000
104	Toni Kroos	MF	2007
105	Bastian Schweinsteiger	MF	2001
106	Ruud van Nistelrooy	FW	1993
107	Cesc Fabregas	MF	2003
108	Paul Van Himst	FW	1959
109	Philipp Lahm	DF	2001
110	Davor Suker	FW	1984
111	Gordon Banks	GK	1958
112	Rob Rensenbrink	MF	1965
113	Jean-Pierre Papin	FW	1984
114	Peter Schmeichel	GK	1981
115	Kazimierz Deyna	MF	1966
116	Fabien Barthez	GK	1990
117	Kurt Hamrin	MF	1952
118	Edgar Davids	MF	1991
119	Deco	MF	1996
120	Sadio Mane	MF	2011
121	Jan Ceulemans	MF	1974
122	Frank Lampard	MF	1995
123	Franck Ribery	MF	2000
124	Wolfgang Overath	MF	1962
125	Tibor Nyilasi	MF	1972
126	Patrick Kluivert	FW	1994
127	Oliver Kahn	GK	1987
128	Karl-Heinz Schnellinger	DF	1958
129	Yaya Toure	MF	2001
130	David Trezeguet	FW	1994
131	Andreas Moller	MF	1985
132	Marius Tresor	DF	1969
133	Pirri	MF	1963
134	Horst Szymaniak	MF	1952
135	Gareth Bale	MF	2006
136	Diego Forlan	FW	1997
137	Gianluca Vialli	FW	1980
138	Valery Voronin	MF	1958
139	Sepp Maier	GK	1962
140	Garrincha	FW	1951
141	Juan Alberto Schiaffino	MF	1943
142	Emilio Butragueno	FW	1982
143	Thibaut Courtois	GK	2009
144	Oleg Blokhin	FW	1969
145	Pat Jennings	GK	1963
146	Alain Giresse	MF	1970
147	Fernando Torres	FW	2001
148	Fernando Hierro	DF	1987
149	Josef Masopust	MF	1950
150	Enzo Scifo	MF	1983
151	Tomas Brolin	FW	1984
152	Ronnie Hellstrom	GK	1966
153	Fabio Cannavaro	DF	1992
154	Mesut Ozil	MF	2006
155	Paul Pogba	MF	2011
156	Dragan Stojkovic	MF	1981
157	Michel Preud'homme	GK	1977
158	Oleksandr Zavarov	MF	1977
159	Hristo Bonev	MF	1964
160	Wilfried Van Moer	MF	1964
161	Gyula Grosics	GK	1945
162	Franco Causio	MF	1964
163	Sandro Mazzola	FW	1960
164	Paul Scholes	MF	1993
165	Ronald Koeman	DF	1980
166	Bruno Pezzey	DF	1973
167	Jean-Marie Pfaff	GK	1972
168	Rainer Bonhof	MF	1970
169	Xavi	MF	1997
170	Alessandro Nesta	DF	1993
171	Albert Shesternyov	DF	1959
172	Mario Kempes	FW	1970
173	Helmut Rahn	FW	1951
174	Hugo Lloris	GK	2005
175	Hans Krankl	FW	1970
176	Lajos Tichy	FW	1953
177	Robin van Persie	FW	2001
178	Helmut Haller	FW	1957
179	Edinson Cavani	FW	2005
180	Henrik Larsson	FW	1988
181	Wesley Sneijder	MF	2002
182	Harald Schumacher	GK	1972
183	Alessandro Altobelli	FW	1973
184	Geoff Hurst	FW	1959
185	Andreas Brehme	DF	1978
186	Pauleta	FW	1990
187	Oliver Bierhoff	FW	1986
188	Hernan Crespo	FW	1993
189	Xabi Alonso	MF	1999
190	Luis Enrique	MF	1988
191	Johnny Haynes	FW	1952
192	Filippo Inzaghi	FW	1991
193	Antonio Cabrini	DF	1973
194	Graeme Souness	MF	1970
195	Georgi Asparuhov	FW	1959
196	Thiago Silva	DF	2002
197	Diego Godin	DF	2003
198	Carles Puyol	DF	1996
199	Gianluca Zambrotta	DF	1994
200	Djalma Santos	DF	1948
201	Jairzinho	MF	1959
202	Bebeto	FW	1983
203	Rivelino	MF	1965
204	Zico	MF	1971
205	Roger Milla	FW	1970
206	Daniel Passarella	DF	1971
207	Didi Pereira	MF	1947
208	Heung-Min Son	FW	2010
209	Julio Cesar Soares	GK	1997
210	Robert Prosinecki	MF	1986
211	Pierre Littbarski	MF	1978
212	Angel Di Maria	MF	2005
213	Pepe	DF	2001
214	Asamoah Gyan	FW	2003
215	Tim Cahill	FW	1998
216	Marc Wilmots	MF	1987
217	Dominique Rocheteau	MF	1972
218	Ji-Sung Park	MF	2000
219	Julio Salinas	FW	1981
220	Fernando Muslera	GK	2004
221	Xherdan Shaqiri	MF	2007
222	Guillermo Ochoa	GK	2003
223	Andoni Zubizarreta	GK	1979
224	Rafael Marquez	DF	1996
225	Sami Al-Jaber	FW	1989
226	Bernd Schuster	MF	1978
227	Ian Rush	FW	1978
228	Kevin Keegan	FW	1968
229	Luigi Riva	FW	1962
230	Gunter Netzer	MF	1963
231	Allan Simonsen	FW	1971
232	Omar Sivori	FW	1954
233	Just Fontaine	FW	1950
234	Gerhard Hanappi	MF	1947
235	Mario Coluna	MF	1954
236	Sandor Kocsis	FW	1945
237	Alan Shearer	FW	1988
238	Dejan Savicevic	MF	1983
239	Amancio Amaro	MF	1958
240	Luca Toni	FW	1994
241	Brian Laudrup	FW	1986
242	Laurent Blanc	DF	1983
243	Roberto Bettega	FW	1969
244	Claude Makelele	MF	1991
245	Paul McGrath	DF	1981
246	Giancarlo Antognoni	MF	1970
247	Ove Kindvall	FW	1962
248	Alan Ball	MF	1960
249	Ivan Kolev	FW	1945
250	John Terry	DF	1998
251	Marcelo	DF	2005
252	Romario	FW	1985
253	James Rodriguez	MF	2006
254	Michel	MF	1981
255	Ralf Edstrom	FW	1971
256	Jean Tigana	MF	1975
257	Billy Wright	DF	1939
258	Jose Altafini	FW	1956
259	Mats Hummels	DF	2006
260	Hansi Muller	MF	1975
261	Dani Alves	DF	2001
262	Maicon Sisenando	DF	2001
263	Juan Sebastian Veron	MF	1994
264	Manuel Amoros	DF	1979
265	Jozsef Bozsik	MF	1943
266	Gennaro Gattuso	MF	1995
267	Gyorgy Sarosi	FW	1930
268	Giuseppe Meazza	FW	1927
269	Alisson	GK	2013
270	Jan Tomaszewski	GK	1963
271	Igor Chislenko	FW	1957
272	Dida	GK	1992
273	Walter Schachner	FW	1975
274	Jens Lehmann	GK	1988
275	Erwin Vandenbergh	FW	1976
276	Viliam Schrojf	GK	1952
277	Raheem Sterling	MF	2012
278	Rio Ferdinand	DF	1995
279	Maxime Bossis	DF	1973
280	Raphael Varane	DF	2010
281	Javier Mascherano	DF	2003
282	Sol Campbell	DF	1992
283	Roberto Ayala	DF	1991
284	Cafu	DF	1989
285	Teofilo Cubillas	MF	1966
286	Claudio Caniggia	FW	1985
287	Tom Finney	FW	1946
288	Romelu Lukaku	FW	2009
289	Gonzalo Higuain	FW	2005
290	Lukas Podolski	FW	2003
291	Gianluca Pagliuca	GK	1987
292	David Seaman	GK	1981
293	Edwin van der Sar	GK	1990
294	Ladislao Mazurkiewicz	GK	1963
295	Ricardo Pereira	GK	1994
296	Ubaldo Fillol	GK	1965
297	Granit Xhaka	MF	2010
298	Dries Mertens	FW	2005
299	Myung-Bo Hong	DF	1991
300	Nilton Santos	DF	1946
301	Claudio Taffarel	GK	1985
302	Emerson Leao	GK	1968
303	Andrzej Szarmach	FW	1967
304	Gilmar dos Santos	GK	1951
305	Ivan Perisic	MF	2006
306	Enrico Albertosi	GK	1958
307	Chicharito Hernandez	FW	2006
308	Clint Dempsey	FW	2004
309	Keisuke Honda	MF	2004
310	Joe Jordan	FW	1968
311	Eiji Kawashima	GK	2001
312	Cuauhtemoc Blanco	FW	1992
313	Sun-Hong Hwang	FW	1991
314	Andres Guardado	MF	2005
315	Antonio Carbajal	GK	1948
316	George Best	MF	1963
317	Alessandro Mazzola	FW	1960
318	Matthias Sammer	MF	1985
319	Paulo Futre	MF	1983
320	Ivo Viktor	GK	1960
321	Riyad Mahrez	MF	2009
322	Clarence Seedorf	MF	1992
323	Glenn Hysen	DF	1978
324	Wlodzimierz Lubanski	FW	1963
325	Danny Blanchflower	MF	1946
326	Stanley Matthews	FW	1932
327	Vinicius Junior	FW	2017
328	Predrag Mijatovic	FW	1987
329	David Platt	MF	1985
330	Jude Bellingham	MF	2019
331	Phil Foden	FW	2016
332	Petr Cech	GK	1999
333	Radamel Falcao	FW	1999
334	Rui Costa	MF	1990
335	Stephane Chapuisat	FW	1986
336	Soren Lerby	MF	1975
337	Ruben Dias	DF	2015
338	Bernardo Silva	FW	2013
339	Michael Essien	DF	2000
340	John Barnes	MF	1980
341	Andrej Kvasnak	MF	1956
342	Dragoslav Sekularac	MF	1955
343	Krasimir Balakov	MF	1983
344	Falcao	MF	1972
345	Walter Zenga	GK	1978
346	Jose Luis Chilavert	GK	1982
347	Gerson	MF	1959
348	Robinho	FW	2002
349	Ronald de Boer	MF	1988
350	Ivan Rakitic	MF	2005
351	Florent Malouda	MF	1996
352	Claudio Lopez	FW	1992
353	Marc Overmars	MF	1990
354	Bixente Lizarazu	DF	1986
355	Youri Djorkaeff	MF	1984
356	Gordon Strachan	MF	1974
357	Bruno Conti	MF	1973
358	Safet Susic	MF	1973
359	Luis Arconada	GK	1972
360	Vladimir Petrovic	MF	1972
361	Rene van de Kerkhof	FW	1970
362	Janos Farkas	FW	1959
363	Karoly Sandor	MF	1947
364	Gerard Pique	DF	2004
365	Nwankwo Kanu	FW	1992
366	Thomas Hassler	MF	1984
367	Anatoliy Demyanenko	DF	1978
368	Eric Gerets	DF	1971
369	Willi Schulz	DF	1960
370	Slava Metreveli	FW	1955
371	Ladislav Novak	DF	1952
372	Luis Monti	MF	1921
